"X","ID","Year","SampleID","Species","Abundance"
3834685,173,1996," North_Western_Pacific_Myojin_Knoll_1296 "," Bathymodiolus",1
3834686,173,1996," North_Western_Pacific_Myojin_Knoll_1296 "," Bathymodiolus_septemdierum",1
3834687,173,1996," North_Western_Pacific_Myojin_Knoll_1397 "," Bathymodiolus_septemdierum",1
3834688,173,1997," North_Western_Pacific_Myojin_Knoll_ "," Bathymodiolus_septemdierum",1
3834689,173,1997," North_Western_Pacific_Myojin_Knoll_1268 "," Bathymodiolus",1
3834690,173,1997," North_Western_Pacific_Myojin_Knoll_1268 "," Eosipho",1
3834691,173,1997," North_Western_Pacific_Nankai_Trough_ "," Calyptogena",1
3834692,173,1997," North_Western_Pacific_Nankai_Trough_ "," Siphonophorae",1
3834693,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Actiniaria",1
3834694,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Echiura",1
3834695,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Lucinidae",1
3834696,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Ophiuroidea",1
3834697,173,1997," North_Western_Pacific_Myojin_Knoll_1358 "," Neoverruca",2
3834698,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Calyptogena_kaikoi",2
3834699,173,1997," North_Western_Pacific_Myojin_Knoll_ "," Neolepas",3
3834700,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Calyptogena",7
3834701,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Calyptogena_laubieri",15
3834702,173,1997," North_Western_Pacific_Nankai_Trough_3761 "," Polychaeta",17
3834703,173,1998," North_Western_Pacific_Challenger_Deep_Mariana_Trench_10899 "," Lysianassidae",1
3834704,173,1998," North_Western_Pacific_Japan_Trench_6300 "," Calyptogena_phaseoliformis",1
3834705,173,1998," North_Western_Pacific_Japan_Trench_6300 "," Polychaeta",1
3834706,173,1998," North_Western_Pacific_Japan_Trench_6329 "," Bivalvia",1
3834707,173,1998," North_Western_Pacific_Japan_Trench_6329 "," Buccinidae",1
3834708,173,1998," North_Western_Pacific_Japan_Trench_6329 "," Calyptogena",1
3834709,173,1998," North_Western_Pacific_Japan_Trench_6329 "," Polychaeta",1
3834710,173,1998," North_Western_Pacific_Japan_Trench_6347 "," Calyptogena",1
3834711,173,1998," North_Western_Pacific_Japan_Trench_6347 "," Polychaeta",1
3834712,173,1998," North_Western_Pacific_Japan_Trench_6347 "," Thyasiridae",1
3834713,173,1998," North_Western_Pacific_Japan_Trench_6380 "," Vesicomyidae",1
3834714,173,1998," North_Western_Pacific_Japan_Trench_6390 "," Thyasira_kaireiae",1
3834715,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Amphipoda",1
3834716,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Bathymodiolus",1
3834717,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Bivalvia",1
3834718,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Brachyura",1
3834719,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Desbruyeresia_melanioides",1
3834720,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Echiura",1
3834721,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Galatheidae",1
3834722,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Gastropoda",1
3834723,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Glyphocrangon",1
3834724,173,1998," North_Western_Pacific_Myojin_Knoll_ "," Thoracica",1
3834725,173,1998," North_Western_Pacific_Myojin_Knoll_#6-4_Marker_ "," Actiniaria",1
