"dataset_ID","format_priority","format_flag","metadata_link","LatLong_sites","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_nSites","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Notes_timeFormat","subannualTgrain","Formatted_Mean_Mean_Individuals_perSiteYear"
44,NA,"4","http://andrewsforest.oregonstate.edu/lter/data/abstract.cfm?dbcode=TV010&topnav=97","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
192,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
201,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
202,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
203,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
204,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
205,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
206,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
207,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
209,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
211,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
212,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
214,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
215,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
216,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
217,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
218,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
219,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
220,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
221,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
222,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
224,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
227,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
229,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
230,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
231,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
233,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
235,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
240,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
245,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
247,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
248,NA,"4","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL","FILL"
