Bird Species,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ruffed Grouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,0,2.0,1.0,t,0,0,0,0,0,0,t,0,1,1,t,t,t
Ruby-thr. Hummingbird,0,t,t,t,0,3.0,t,0,0,0,t,t,t,t,0,t,2.0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,t,0,1,1,t,0,1
Pileated Woodpecker,0,t,t,0,0,t,t,0,t,t,0,t,0,0,t,0,0,t,0,0,t,t,0,t,0,0,0,0,0,t,0,0,t,t,0,t,0,t,t,t,t,t
Yellow-b.Sapsucker,6.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,2.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.5,3.0,2.0,3.0,1.0,2.5,2.0,2.0,3.0,2.0,1.5,3.0,3.0,2,4,4,5,2,4,3.5,3.5,4.5
Hairy Woodpecker,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,0.5,1.0,2.0,1.5,1.5,1.5,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,t,2.5,2.0,2.0,1,3,2,2.5,3,4,2.5,2.5,2.5
Downy Woodpecker,6.0,3.0,3.0,2.0,2.0,2.0,3.0,2.5,3.0,3.5,2.0,4.0,t,1.0,3.0,1.5,2.0,0,t,1.5,2.0,t,1.5,2.0,t,2.5,t,t,1.0,t,1.0,t,0,tr,2,2,1,2,t,t,0,3
Least Flycatcher,26.0,28.0,43.0,49.5,57.0,26.0,30.0,28.0,34.0,22.0,22.0,15.0,1.0,0,0,t,0,0,0,6.0,0,0,1.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Pewee,1.0,0,1.0,0,t,t,t,0,0,t,t,t,2.0,0,0,t,t,t,0,t,0,t,1.0,1.0,1.0,1.0,t,0,0,0,0,0,t,0,0,0,0,0,t,0,0,0
Blue Jay,t,t,t,t,0,t,0,t,0,t,t,1.0,1.5,t,t,t,t,t,t,0.5,t,t,t,t,t,t,t,1.0,t,t,0,0,0,0,t,t,1,t,1,t,t,t
Black-c. Chickadee,4.0,1.0,0.5,0.5,t,1.0,1.0,t,2.0,t,0,2.0,1.0,t,0,t,1.0,0,t,t,2.0,2.0,1.0,3.0,2.0,2.0,2.0,t,2.0,1.0,3.5,t,t,tr,2,1,2,4,3,0,0.5,t
Brown Creeper,2.0,0,0.5,t,0.5,1.0,0,0,0,0,0,2.0,t,0,0,0,0,0.5,0,0.5,0,2.5,2.0,0.5,0,1.5,0,1.0,0,2.0,0,2.0,2.0,2,t,t,0,2,1,t,0,4
White-br. Nuthatch,8.0,2.0,2.0,2.0,1.0,1.0,1.5,1.5,3.0,2.5,1.0,2.0,3.0,2.0,1.5,2.5,2.0,1.0,1.0,1.0,2.0,3.0,1.5,2.0,2.0,1.0,t,3.0,1.5,t,2.0,2.0,1.0,2,2,t,0,2,2,t,0.5,t
Red-br. Nuthatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,t,0,0,0,0,0,0,0,0,0,0,t,0,0,0,0
Winter Wren,1.0,0.5,1.5,0.5,3.0,6.0,2.0,5.0,1.0,0,0,1.0,0.5,0,0,0,0,0,0.5,1.0,1.0,2.0,3.0,1.0,t,1.0,t,1.5,0,4.0,1.0,1.0,t,1,0,3,2,1.5,1,2.5,0,1
Robin,0,0.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Thrush,7.0,6.0,9.0,7.0,4.0,5.0,6.5,5.0,9.0,7.0,7.0,3.0,0.5,2.0,2.0,1.0,1.0,1.5,0,t,1.0,1.0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermit Thrush,6.0,8.0,7.0,7.0,4.0,2.0,7.5,5.0,4.0,1.5,0,2.0,1.0,1.0,2.0,3.5,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,3.0,3.5,2.0,5.0,1.0,3.0,3.0,3.0,4.5,3,4.5,3,4.5,6.5,4.5,4.5,6.5,5.5
Veery,2.0,2.0,5.0,2.0,1.0,0.5,2.5,2.5,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.5,2.5,1.5,1.5,0.5,2.0,2.5,6.0,3.5,4.0,3.0,3.0,2.5,2.0,2.5,0,t,t,0,0,1,0,0,0,0,0
Swainson's Thrush,9.0,8.0,11.0,11.0,9.0,6.5,8.0,7.0,4.0,5.0,7.0,3.0,2.0,1.0,2.0,2.0,4.0,1.5,2.0,2.0,2.0,3.5,2.5,3.5,2.5,0,0,0.5,2.0,0,0,0,4.0,t,t,t,t,0,t,2,2,3
Philadelphia Vireo,4.0,7.0,5.0,8.0,4.0,4.0,3.5,3.5,2.0,3.0,2.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solitary Vireo,0,0,0,0.5,1.0,1.0,t,0.5,4.0,3.0,t,0,0,0,0,0,0.5,0,0.5,0,0,t,2.5,2.0,2.0,1.0,0,0,0,0,3.0,1.5,3.5,0,3,t,t,3,2,4,2.5,t
Red-eyed Vireo,20.0,24.0,29.0,22.0,26.0,23.0,31.0,30.0,23.5,20.0,16.0,13.0,26.0,23.0,22.0,20.5,21.5,22.0,19.5,22.0,22.5,24.0,25.5,15.0,16.5,18.5,18.0,19.0,22.0,17.0,23.5,28.0,29.0,19,21,21,24.5,22,19,19.5,27,23.5
Blk. & Wh. Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bk.-thr. Green Warbler,8.0,9.0,12.0,7.0,6.0,10.0,8.0,8.0,7.0,7.5,9.0,10.0,9.0,8.5,11.0,7.0,15.0,8.5,12.0,17.0,15.5,17.5,13.5,18.0,17.5,13.5,14.0,16.0,8.5,11.0,12.5,15.5,13.5,16,13,13.5,13,17.5,16,15.5,24.5,20.5
Bk.-thr. Blue Warbler,4.0,8.0,11.0,9.0,11.0,11.0,12.0,11.0,12.0,10.5,14.5,8.0,12.0,14.0,13.5,9.5,8.5,10.5,11.5,9.0,15.0,16.0,13.5,15.0,11.0,7.0,10.0,5.5,8.5,8.5,11.0,10.5,9.0,9,7.5,6,8,10,10.5,5,6.5,7.5
Yellow-r. Warbler,0,0,0,1.0,0,0,0,0,0,0,1.0,t,0,1.0,0,0,3.0,1.5,0,2.5,2.0,2.0,2.0,3.0,t,0,0,2.0,2.5,0,0,2.0,4.0,2,2,0,2,4.5,2,0.5,0,2.5
Blackburnian Warbler,2.0,5.5,4.0,7.0,4.0,6.0,6.0,2.0,3.0,1.0,1.0,2.0,3.5,4.5,2.0,1.0,0.5,2.0,0,t,2.0,1.0,2.5,3.0,t,0,0,3.5,4.0,0,0,2.0,4.0,3,3,2,4,2,2,2,2,4
Chestnut-sided Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovenbird,6.0,6.0,9.0,9.0,11.0,10.0,18.0,18.5,9.0,13.0,12.0,10.0,10.0,11.0,13.5,11.0,10.0,16.0,15.5,21.5,16.0,20.0,17.5,15.5,13.5,9.0,11.0,12.0,10.5,9.0,4.0,7.5,7.0,7.5,8,8,15.5,15,20,21,21.5,17
American Redstart,12.0,26.0,29.0,29.0,26.0,22.0,39.0,42.0,44.0,32.5,36.0,34.5,22.0,32.0,30.0,14.0,27.0,13.0,11.0,13.5,5.5,18.5,14.0,19.0,13.0,7.5,2.0,10.5,10.5,10.0,9.5,7.5,4.0,2,7,2,1,2,2,3,0.5,t
Canada Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarlet Tanager,4.0,6.0,5.0,8.0,7.0,3.0,1.5,1.5,4.0,3.5,2.0,4.0,5.0,6.0,7.0,4.0,3.0,2.0,1.5,2.0,2.5,1.5,2.5,4.5,3.5,3.5,2.0,2.0,2.0,2.0,2.0,1.0,0.5,1,5,4,5.5,4,1.5,3,1.5,4.5
Rose-br. Grosbeak,8.0,4.0,6.0,10.0,4.5,8.0,7.5,7.0,5.0,4.0,4.0,6.0,8.0,7.0,4.0,5.0,5.5,2.5,2.5,2.5,3.0,4.5,2.0,4.0,0.5,2.0,2.0,2.0,4.0,t,2.0,t,t,t,2,4,3,2.5,2.5,3,2,3.5
Evening Grosbeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark-eyed Junco,8.0,4.0,8.0,8.0,2.0,5.0,5.0,6.0,2.0,t,0,0,0,0,0,1.0,0,0,0,2.0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Finch,2.0,0,1.0,6.0,2.0,t,0,0,0,t,0,0,0,0,0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total  (all Species),158.0,162.5,212.0,213.5,192.0,161.0,200.5,193.5,186.5,148.5,146.5,130.5,116.5,124.0,118.0,88.5,116.0,90.5,84.5,112.5,101.0,133.0,120.0,130.0,93.5,84.0,72.0,92.5,86.5,71.5,84.5,88.5,91.0,70.5,89.0,75.5,95.5,107.5,100,91.5,105.5,107.5
Number of Species,25,25,28,28,25,28,25,23,23,25,22,26,24,21,18,23,22,20,18,24,21,26,25,25,21,21,19,21,19,18,16,18,21,20,19,22,19,24,24,23,18,23
