dataset_ID,dataset_name,data_obtained,data_format,reference,biome,data_link,location,spatial_grain,spatial_extent,temporal_grain,start_year,end_year,notes
ENV01A,WorldClim Temperature,N,Environmental-Raster,Hijmans et al. 2005,Terrestrial,FILL,GLOBAL,1 km,GLOBAL,FILL,FILL,FILL,FILL
ENV01B,WorldClim Annual precipitation,N,Environmental-Raster,Hijmans et al. 2005,Terrestrial,FILL,GLOBAL,1 km,GLOBAL,FILL,FILL,FILL,FILL
ENV01C,WorldClim Normalized difference vegetation index,N,Environmental-Raster,"MODIS/Terra, MOD13",Terrestrial,FILL,GLOBAL,250 m,GLOBAL,FILL,FILL,FILL,FILL
ENV01D,MODIS Actual evapotranspiration,N,Environmental-Raster,"MODIS/Terra, MOD16",Terrestrial,FILL,GLOBAL,1 km,GLOBAL,FILL,FILL,FILL,FILL
ENV01E,USGS Elevation,N,Environmental-Raster,USGS GTOPO30,Terrestrial,FILL,US,1 km,US,FILL,FILL,FILL,FILL
ENV01F,NLCD Land cover,N,Environmental-Raster,Fry et al. 2011,Terrestrial,FILL,US,30 m,US,FILL,FILL,FILL,FILL
ENV01G,USGS Soil type,N,Environmental-Raster,SSURGO,Terrestrial,FILL,US,10 m,US,FILL,FILL,FILL,FILL
ENV01H,Sea surface temperature,N,Environmental-Raster,"MODIS/Aqua, MOD28",Marine,FILL,GLOBAL,1 km,GLOBAL,FILL,FILL,FILL,FILL
ENV01I,Chlorophyll-a,N,Environmental-Raster,MODIS/Aqua,Marine,FILL,GLOBAL,1 km,GLOBAL,FILL,FILL,FILL,FILL
ENV01J,Organic pollutants,N,FILL,Halpern et al. (2008),Marine,FILL,FILL,1 km,FILL,FILL,FILL,FILL,FILL
ENV01K,Inorganic pollutants,N,FILL,Halpern et al. (2008),Marine,FILL,FILL,1 km,FILL,FILL,FILL,FILL,FILL
ENV01L,Reef area,N,FILL,Sea WiFS,Marine,FILL,FILL,1 km,FILL,FILL,FILL,FILL,FILL
ENV01M,Ocean currents,N,FILL,"NOAA OSCAR, Bonjean & Lagerloef (2002)",Marine,FILL,FILL,1/3 degree,FILL,FILL,FILL,FILL,FILL
ENV01N,DAYMET,N,Environmental-Raster,Thornton et al. 2014,Terrestrial,http://daymet.ornl.gov/,US,1 km,CONUS,daily,1980,present,"tmin, tmax, ppt"
