"dataset_ID","format_flag","dataset_name","data_source","system","climate","taxa","organism","location","CentralLatitude","CentralLongitude","LatLong_sites","Raw_datafile_name","Raw_start_year","Raw_end_year","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_spatial_grain","Raw_spatial_grain_unit","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_start_year","Formatted_end_year","Formatted_nSites","Formatted_nTime","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Formatted_spatial_grain","Formatted_spatial_grain_unit","Notes_timeFormat","subannualTgrain","PropOcc_notes","General_notes","Citation1","Citation2","Citation3","Citation4","Citation5","Citation6"
1,1,"North American Breeding Bird Survey","https://www.pwrc.usgs.gov/bbs/","Terrestrial","Temperate","Bird","Birds","",NA,NA,"N",NA,NA,NA,NA,NA,NA,"site","N",NA,"each site is a full 50-stop BBS route","waterbirds and nocturnal birds had previously been filtered out",NA,NA,NA,NA,NA,"count","Data represents number of individuals seen over 50 3-min point counts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Each site sampled once annually during the breeding season","N","","","","","","","",""
33,1,"Western English Channel phytoplankton","http://plankt.oxfordjournals.org/content/32/5/643.full#sec-5","Marine","Temperate","Plankton","Phytoplankton","",50.150002,-4.1300001,"N",NA,NA,NA,1735,18,157,"station_sampling_info","N",1,"Only one site in this dataset. The site name gives information on sample method. No changes made.","several species removed. Firstly, there were a few instances where a an entry was not identified down enough to be distinguished from other entries. For example, if one entry is only specified to the genus, but there are other entries of that genus that are narrowed down to the species, there is a possibility for overlap. Entries with uncertain species marked with cf. were renamed into ""Genus sp."" if there were multiple of those entries. Changed one entry that identified the organism to the form, which is more than specific than species, to just the species. ",NA,NA,18003537.56,731376,28735262,"count","Data represents count. No changes made",1735,NA,NA,1,NA,"157","18003537.56",731376,"28735262",NA,NA,"temporal data provided as years, only modification was converting to a numeric object","N","","","C. E. Widdicombe, D. Eloire, D. Harbour, R. P. Harris, P. J. Somerfield, Long-term phytoplankton community dynamics in the Western English Channel. Journal of Plankton Research 32, 643 (2010).",NA,NA,NA,NA,NA
41,1,"Breeding Birds from Preston 1948","http://www.jstor.org/stable/1931793","Terrestrial","Temperate","Bird","Birds","",39.5,-82.480003,"N",NA,NA,NA,418,10,56,"sampleID",NA,1,"no site information available here.  All sites are listed as censusbreedingbirds_Neotoma.  May need to get data again or re-check source.","all species good, none removed from data",NA,NA,115.1,95,145,"count","Data represents abundance counts. no changes or removals necessary",418,NA,NA,1,NA,"56","115.1",95,"145",NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","","","F. W. Preston, Time and Space and the Variation of Species. Ecology 41, 612 (1960).",NA,NA,NA,NA,NA
44,NA,"HJ Andrews TP108: Herb Layer in Uncut Plots: Cover, Height, Number of Tree Seedlings (U-B3)","http://andrewsforest.oregonstate.edu/lter/data/abstract.cfm?dbcode=TV010&topnav=97","Terrestrial","Temperate","Plant","Understory vegetation","Blue River, OR 97413",44.67350699,-120.4082845,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
46,1,"Skokholm birds","http://ecologicaldata.org/wiki/skokholm-bird-observatory","Terrestrial","Temperate","Bird","Birds","",51.41634,-5.1721802,"N",NA,NA,NA,528,47,29,"site","N",1,"SampleID column from raw dataset just contains the year sampled. There is only one site for this dataset, so all site column entries were changed to ""Skokholm","No species removed.",NA,NA,NA,NA,NA,"count","Data represents count. There were no NAs nor 0s that required removal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temporal data provided as years. Only modification was converting it to numerical object","N","","","M. Williamson, The Land-Bird Community of Skokholm: Ordination and Turnover. Oikos 41, 378 (1983).",NA,NA,NA,NA,NA
47,1,"Canadian duck censuses","http://ecologicaldata.org/wiki/redvers-waterfowl-census","Terrestrial","Temperate","Bird","Ducks","",50.845457,-107.4463,"N",NA,NA,NA,392,26,13,"region_year","N",2,"site data included two sites followed by year: Redvers_year and Lousana_year.  Used substring to remove the year from the site leaving just the site in the data.","all species good, none removed from data",NA,NA,299.9714286,59,576,"count","Data represents abundance counts. no changes or removals necessary",392,NA,NA,2,NA,"13","299.9714286",59,"576",NA,NA,"data provided as years. only modification to this field was converting to numeric object.","N","","","W. L. Vickery, T. D. Nudds, Detection of Density-Dependent Effects in Annual Duck Censuses. Ecology 65, 96 (1984).",NA,NA,NA,NA,NA
67,1,"South African Coordinated Waterbird Counts","http://www.vliz.be/en/imis?module=dataset&dasid=3738","Terrestrial","Temperate","Bird","Waterbirds","",-28.47,24.675,"Y",NA,NA,NA,8602,24,68,"SampleID","N",423,"Sites are listed as lat_long, but each lat_long corresponds to a specific wetland. 
                                 Thus we are NOT treating this like a lat-long dataset that could be spatially aggregated.","Removed several species entries because they did not reference recognizable species: LESSER-CRESTED_X_SAND and KERMADEC_X_ROUND_ISLA. There were many entries that were cut off in the original dataset. These were renamed to their full names. For example: PACHYPTILA_CRASSIROST was replaced with PACHYPTILA_CRASSIROSTRIS",NA,NA,NA,NA,NA,"count","Data represents abundance. no changes or removals necessary",8602,NA,NA,423,NA,"66","6.476347182",NA,"109",NA,NA,"temporal data provided yearly. only change made was to a numeric object.","N","","","""Animal Demography Unit - Coordinated Waterbird Counts (CWAC) - AfrOBIS"". (Available at http://www.iobis.org/, accessed 2012).",NA,NA,NA,NA,NA
69,0,"","https://data.nbn.org.uk/Datasets/GA000089","Marine","Temperate","Bird","Seabirds","",55.65135,-4.4680754,"",NA,NA,NA,2946,10,26,"","",1434,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","spatial extent is in square kilometers","P. I. Mitchell, S. F. Newton, N. Ratcliffe, T. E. Dunn, ""Seabird 2000"". Eurobis Joint Nature Conservation Committee, Peterborough, UK. (Available at http://www.iobis.org/, accessed 2012)",NA,NA,NA,NA,NA
70,1,"Belgian Migrating Lepidoptera Survey","https://web.archive.org/web/19990220041409/http://users.skynet.be/bs663526/","Terrestrial","Temperate","Arthropod","Butterflies","",51,4,"N",NA,NA,NA,303,14,25,"site","N",1,"data includes only one site: Belgium. No changes made","all species good, none removed from data",NA,NA,25364.78571,218,77630,"cover","Data represents cover. There were no NAs nor 0s that required removal",303,NA,NA,1,NA,"25","25364.78571",218,"77630",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","","","B. Vanholder, ""Belgian Migrating Lepidoptera (1997)"". (Available at http://www.club.innet.be/~pub00644, accessed 2012).","""Belgian Migrating Lepidoptera"". NERC Centre for Population Biology, Imperial College, The Global Population Dynamics Database v2.0. (Available at http://www3.imperial.ac.uk/cpb/databases/gpdd, accessed 2012).",NA,NA,NA,NA
71,0,"","http://dw.sfos.uaf.edu/rest/metadata/ArcOD/2007P6","Marine","Polar/Temperate","Plankton","Phytoplankton","",77.004997,72.396996,"N",NA,NA,NA,13995,10,386,"site","N",2797,"Sites have a lot of unnecessary information including species names, catch methods, etc. No changes made to site data, need to find way to remove some unwanted info from sites","several entries were removed or changed because they were only identified to the genus, with other entries of that genus being identified to the species. This means that those entries could possibly fall under the other identified species entries. One typo was found and changed:  TH+M37663ALASSIOSIRA_ANTARCTICA_BOREALIS",NA,NA,6744042.607,1.28,472500000,"count","Data represents count. There were no NAs nor 0s that required removal",13994,NA,NA,2797,NA,"385","6744042.607",1.28,"472500000",NA,NA,"temporal data provided as years. The only modification to this field involved converting to a numeric object.","N","With a min time of 10 years - proportional occurrences for this dataset needed to be evaluated as if there were only 1 site!","spatial extent is in square kilometers","T. N. Ratkova, ""Phytoplankton of the White Sea, Barents Sea, Amundsen & Nansen Basins"". Institute of Oceanology, Academy of Sciences of Russia, Moscow, Russia; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. (Available at http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012). ",NA,NA,NA,NA,NA
