Site_ID,Region,Site_name,Latitude,Longitude,Species,Date,Season,Count,Counted_object,Accuracy,Notes,Source
LOOK,EI,Cape Lookout,-61.2802,-55.2047,GEPE,12/31/2010,2010,345,C,1,,ASI
LOOK,EI,Cape Lookout,-61.2802,-55.2047,GEPE,12/1/2012,2012,238,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/13/1999,1999,1177,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,1/11/2002,2001,1236,C,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/20/2003,2003,1486,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,11/18/2005,2005,1998,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,1/22/2006,2005,2483,C,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/20/2006,2006,1639,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/3/2007,2007,1383,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,11/4/2008,2008,2210,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/29/2008,2008,2742,C,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/10/2009,2009,1900,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,12/21/2010,2010,1319,N,1,,ASI
AITC,SH,"Barrientos Island, Aitcho Islands",-62.3811,-59.7764,GEPE,11/17/2011,2011,2213,N,1,,ASI
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1980(81),1980,3809,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1981(82),1981,2580,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1983(84),1983,1656,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1984(85),1984,3105,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1985(86),1985,3522,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1986(87),1986,3410,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1994(95),1994,3772,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1995(96),1995,2985,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
ARDL,SH,Ardley Island,-62.2131,-58.9332,GEPE,xx/xx/1996(97),1996,2974,N,1,Accuracy has been estimated from original source.,Management Plan for ASPA No. 150
