Bird Species,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Ruffed Grouse,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,t,1.0,0.0,0.0,0.0,0.0,0.0
Ruby-thr. Hummingbird,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,t,1.0,0.0,0.0,0.0
Pileated Woodpecker,0.0,0.0,0.0,t,0.0,0.0,0.0,t,0.0,t,t,t,0.0,0.0,t
Yellow-b.Sapsucker,3.0,2.0,2.0,2.5,2.5,3.5,4.0,2.0,2.5,3.0,2.0,3.5,2.0,4.0,2.5
Hairy Woodpecker,2.0,2.0,1.0,1.0,1.5,2.5,1.0,1.0,1.5,2.0,2.0,1.5,t,2.0,2.0
Downy Woodpecker,0.5,1.0,2.0,1.5,3.0,1.5,1.0,t,0.0,0.0,1.0,2.0,2.0,1.0,0.0
Least Flycatcher,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0
Wood Pewee,t,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,1.0,t,0.0,0.0,0.0
Blue Jay,t,t,t,t,t,t,t,t,0.0,t,0.0,t,0.0,0.0,t
Black-c. Chickadee,0.0,t,0.5,2.0,3.5,2.0,2.0,1.0,2.0,t,2.0,1.0,2.5,0.5,3.0
Brown Creeper,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
White-br. Nuthatch,0.0,1.0,1.0,1.0,2.5,t,1.0,2.0,0.5,t,0.0,t,t,t,0.5
Red-br. Nuthatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter Wren,0.0,1.0,t,2.0,0.5,2.5,0.0,0.0,t,0.0,t,0.0,2.0,0.0,t
Wood Thrush,2.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hermit Thrush,1.0,1.5,2.0,2.5,3.0,1.0,1.5,3.5,3.0,6.5,6.0,2.5,4.0,4.0,5.0
Veery,2.0,2.5,3.0,3.5,3.5,5.0,4.0,6.0,2.5,2.0,2.0,0.5,t,1.0,t
Swainson's Thrush,2.0,0.0,0.5,0.0,t,0.0,0.0,0.0,1.0,1.0,t,3.5,0.0,0.0,t
Solitary Vireo,0.0,1.0,0.0,t,0.0,0.0,1.5,0.5,0.5,2.0,0.0,0.0,0.0,1.0,0.0
Red-eyed Vireo,19.5,20.0,19.0,22.5,21.5,26.5,14.5,19.0,14.0,20.0,19.5,24.0,18.0,27.5,27.0
Blk. & Wh. Warbler,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,t,1.0,0.0,0.0,0.0,0.0
Bk.-thr. Green Warbler,8.0,7.5,17.0,17.5,18.5,14.0,13.5,8.5,9.5,12.5,11.0,12.5,12.5,15.0,17.0
Bk.-thr. Blue Warbler,12.5,15.5,16.0,16.0,19.5,13.0,12.5,8.0,8.5,12.5,9.0,9.0,9.5,14.5,11.5
Yellow-r. Warbler,0.0,0.0,t,1.0,1.5,0.0,0.0,3.0,t,0.0,t,1.5,t,t,0.0
Blackburnian Warbler,3.0,2.0,2.0,2.5,3.0,2.0,2.0,0.0,0.0,t,2.0,2.0,2.0,2.0,2.0
Chestnut-sided Warbler,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovenbird,6.5,8.0,12.0,8.0,16.0,9.0,6.5,7.5,9.0,7.5,10.0,5.0,8.0,5.0,6.0
American Redstart,14.0,17.0,18.5,19.5,19.0,8.5,9.0,6.5,2.0,2.0,4.0,3.5,2.0,4.0,3.0
Canada Warbler,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scarlet Tanager,2.5,4.0,2.0,3.0,2.5,3.5,4.0,3.5,3.0,2.0,4.0,2.0,2.0,3.0,4.5
Rose-br. Grosbeak,3.5,3.5,3.5,4.0,4.0,3.5,4.0,2.0,4.0,2.0,2.0,2.0,0.0,0.5,1.5
Evening Grosbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dark-eyed Junco,0.0,0.0,1.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total  (all Species),82.0,93.5,106.5,115.0,129.0,100.0,86.0,74.0,65.5,76.0,78.5,77.0,66.5,85.0,85.5
Number of Species,17.0,20.0,23.0,24.0,25.0,18.0,19.0,19.0,19.0,20.0,21.0,22.0,16.0,17.0,18.0
