"stateroute","Species","Mean.Temp","Mean.Precip","Mean.Elev","Mean.EVI","SD.Temp","SD.Precip","SD.Elev","SD.EVI","Longi","Lati","sum.EVI","elev.mean","mat","ap.mean","MainCompAOU","FocalAbundance","FocalOcc","FocalSciName","AllCompSum","MainCompSum","CompOcc","AOU","nroutes","comp_scaled","zTemp","zPrecip","zElev","zEVI","FocalOcc_scale","occ_logit","counter","numyears","sp_success","sp_fail","sp_success_abun","sp_fail_abun"
2001,7030,12.9620777891505,990.526131026714,485.143224481277,0.441820214246674,3.69247445775673,348.549351737934,623.855794630392,0.144807179762069,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,6220,66.9333333333333,1,"Mimus polyglottos",13.5666666666667,1.5,0.4,7030,244,0.0219191427179737,0.633158668420385,1.22415396747217,-0.442128617244118,0.846831531107876,0.995,5.29330482472449,1,8,"8","0","535.466666666667","-527.466666666667"
2001,4650,12.0347976878613,1136.55609470175,259.152362623747,0.530623416579191,3.42308912293353,165.015450358256,187.237867909351,0.0730746165725998,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,4610,2.25,0.725,"Empidonax virescens",7.13333333333333,7.13333333333333,1,4650,181,0.760213143872114,0.953875927524933,1.70073837028901,-0.266151492422793,0.462870487828081,0.72275,0.958143754665979,1,8,"5.8","2.2","18","-10"
2001,6370,15.0011666666667,1234.07487591239,124.746427569376,0.49939316711,2.900402707441,159.535513897826,120.229526893703,0.0816296172782766,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,6630,1.33333333333333,0.475,"Protonotaria citrea",5.97619047619048,1.33333333333333,0.225,6370,71,0.5,0.103031669556326,1.14789066352621,0.703423686820351,0.796945214973002,0.47525,-0.099080977332204,1,8,"3.8","4.2","10.6666666666667","-2.66666666666667"
2001,6840,11.76640625,1155.43304029178,290.228833971837,0.538584631855824,3.86791707862212,176.166886985157,198.057098822173,0.0672792222937143,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,6810,1.16666666666667,0.175,"Setophaga citrina",7.24166666666667,5.86666666666667,1,6840,133,0.834123222748815,0.913565021734847,1.48592716261618,-0.408519107930951,0.384410926025113,0.17825,-1.52824915324992,1,8,"1.4","6.6","9.33333333333333","-1.33333333333333"
2001,6630,14.9454668470907,1230.13199750336,145.725024556574,0.504291651971583,2.71071654092185,153.867491184103,109.440675800293,0.0878047021745254,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,6370,1.33333333333333,0.225,"Setophaga dominica",5.97619047619048,1.33333333333333,0.475,6630,85,0.5,0.130789460114029,1.21580071185644,0.581079197656664,0.685109641495597,0.22775,-1.22105979565862,1,8,"1.8","6.2","10.6666666666667","-2.66666666666667"
2001,6770,12.7546273546274,1165.85977769524,250.320745223161,0.52935491456593,2.78976266036836,151.144515231458,191.197716479853,0.0726149361663123,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,6760,2.625,0.45,"Geothlypis formosus",1,0,0.075,6770,129,0,0.912397560384781,1.66294109142116,-0.214448275515207,0.483269521213884,0.4505,-0.198650696795283,1,8,"3.6","4.4","21","-13"
2001,5460,10.1200779727096,907.036399445553,452.102140431721,0.468837508555068,3.37565875886854,281.455883394167,443.865936842096,0.125114075506254,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,5600,3.66666666666667,0.625,"Ammodramus savannarum",14.5333333333333,14.5333333333333,1,5460,211,0.798534798534799,1.5344921976138,1.81260308798214,-0.546974650763705,0.764182535482609,0.62375,0.505495831002643,1,8,"5","3","29.3333333333333","-21.3333333333333"
2001,4060,12.2805364940736,1057.87351845199,253.009213490423,0.491697835810979,4.0745512638366,256.507435603172,248.659990983177,0.0944791401895781,-87.6,34.86,0.5644475,209.318724641611,15.3,1417.20420281656,4120,1,0.3,"Melanerpes erythrocephalus",14.2666666666667,1.4,0.625,4060,203,0.583333333333333,0.741054243868628,1.40085874516508,-0.175703733745281,0.770007686808368,0.302,-0.837792085387503,1,8,"2.4","5.6","8","0"
2006,6160,7.3272043745728,874.482724573711,551.357573411857,0.46734782919959,2.77513599645706,275.112675323131,540.594022555464,0.119978751087438,-86.68,34.5,0.4764425,232.07520381994,15.5,1430.34071202809,6140,1,0.0277777777777778,NA,18.5897435897436,2.66666666666667,0.0833333333333333,6160,128,0.727272727272727,2.94500724860374,2.02047392691559,-0.590613947380744,0.0758023459819323,0.0325,-3.39347533556824,1,4,"0.111111111111111","3.88888888888889","4","0"
2006,6770,12.7546273546274,1165.85977769524,250.320745223161,0.52935491456593,2.78976266036836,151.144515231458,191.197716479853,0.0726149361663123,-86.68,34.5,0.4764425,232.07520381994,15.5,1430.34071202809,6760,1.6,0.166666666666667,"Geothlypis formosus",0,0,0.0277777777777778,6770,129,0,0.984088246779441,1.74985466014321,-0.0954276114753887,-0.728671226051106,0.17,-1.58562726374038,1,4,"0.666666666666668","3.33333333333333","6.4","-2.4"
