"","FocalAOU","ALPHA.CODE","Trophic.Group","Foraging","migclass","Family","CommonName","rank","Type","value","EW"
"1",3880,"BBCU","insectivore","foliage glean","neotrop","Cuculidae","Black-billed Cuckoo","29","ENV",0.122047056111727,1
"2",3880,"BBCU","insectivore","foliage glean","neotrop","Cuculidae","Black-billed Cuckoo","29","COMP",0.0450811422317298,1
"3",3880,"BBCU","insectivore","foliage glean","neotrop","Cuculidae","Black-billed Cuckoo","29","SHARED",0.126639236678888,1
"4",3880,"BBCU","insectivore","foliage glean","neotrop","Cuculidae","Black-billed Cuckoo","29","NONE",0.706232564977654,1
"5",4060,"RHWO","omnivore","bark glean","short","Picidae","Red-headed Woodpecker","47","ENV",0.0745836946536919,1
"6",4060,"RHWO","omnivore","bark glean","short","Picidae","Red-headed Woodpecker","47","COMP",0.174934778721513,1
"7",4060,"RHWO","omnivore","bark glean","short","Picidae","Red-headed Woodpecker","47","SHARED",0.00842638775410268,1
"8",4060,"RHWO","omnivore","bark glean","short","Picidae","Red-headed Woodpecker","47","NONE",0.742055138870692,1
"9",4540,"ATFL","insectivore","hover/glean","neotrop","Tyrannidae","Ash-throated Flycatcher","42","ENV",0.0896317954675128,0
"10",4540,"ATFL","insectivore","hover/glean","neotrop","Tyrannidae","Ash-throated Flycatcher","42","COMP",0.19058932962285,0
"11",4540,"ATFL","insectivore","hover/glean","neotrop","Tyrannidae","Ash-throated Flycatcher","42","SHARED",-0.0247414078547793,0
"12",4540,"ATFL","insectivore","hover/glean","neotrop","Tyrannidae","Ash-throated Flycatcher","42","NONE",0.744520282764417,0
"13",4570,"SAPH","insectivore","hawks","short","Tyrannidae","Say's Phoebe","60","ENV",0.0228819041757928,0
"14",4570,"SAPH","insectivore","hawks","short","Tyrannidae","Say's Phoebe","60","COMP",0.0280638302290787,0
"15",4570,"SAPH","insectivore","hawks","short","Tyrannidae","Say's Phoebe","60","SHARED",0.00693581860418824,0
"16",4570,"SAPH","insectivore","hawks","short","Tyrannidae","Say's Phoebe","60","NONE",0.94211844699094,0
"17",4590,"OSFL","insectivore","hawks","neotrop","Tyrannidae","Olive-sided Flycatcher","43","ENV",0.0868191801930513,0
"18",4590,"OSFL","insectivore","hawks","neotrop","Tyrannidae","Olive-sided Flycatcher","43","COMP",0.136592027083343,0
"19",4590,"OSFL","insectivore","hawks","neotrop","Tyrannidae","Olive-sided Flycatcher","43","SHARED",0.0440377498565121,0
"20",4590,"OSFL","insectivore","hawks","neotrop","Tyrannidae","Olive-sided Flycatcher","43","NONE",0.732551042867093,0
"21",4650,"ACFL","insectivore","hawks","neotrop","Tyrannidae","Acadian Flycatcher","26","ENV",0.142304445516594,1
"22",4650,"ACFL","insectivore","hawks","neotrop","Tyrannidae","Acadian Flycatcher","26","COMP",0.199404625360499,1
"23",4650,"ACFL","insectivore","hawks","neotrop","Tyrannidae","Acadian Flycatcher","26","SHARED",-0.00301124618083823,1
