PRIMARY_COM_NAME,AOU_OUT,ALPHA.CODE
Abert's Towhee,5920,ABTO
Acadian Flycatcher,4650,ACFL
Acorn Woodpecker,4070,ACWO
Adelaide's Warbler,17510,ADWA
Akepa,7950,AKEP
Akiapolaau,7890,AKIP
Alder Flycatcher,4661,ALFL
Allen's Hummingbird,4340,ALHU
Altamira Oriole,5031,ALOR
American Crow,4880,AMCR
American Goldfinch,5290,AMGO
American Pipit,6970,AMPI
American Redstart,6870,AMRE
American Robin,7610,AMRO
American Tree Sparrow,5590,ATSP
Anianiau,7840,ANIA
Anna's Hummingbird,4310,ANHU
Antillean Crested Hummingbird,12570,ACHU
Antillean Euphonia,18050,ANEU
Antillean Mango,12530,ANMA
Apapane,8020,APAP
Arctic Warbler,7470,ARWA
Ash-throated Flycatcher,4540,ATFL
Audubon's Oriole,5030,AUOR
Aztec Thrush,7631,AZTH
Bachman's Sparrow,5750,BACS
Bahama Mockingbird,7031,BAMO
Bahama Swallow,6151,BAHS
Bahama Woodstar,4371,BAWO
Baird's Sparrow,5450,BAIS
Baltimore Oriole,5070,BAOR
Bananaquit,6350,BANA
Band-tailed Pigeon,3120,BTPI
Bank Swallow,6160,BANS
Barn Swallow,6130,BARS
Bay-breasted Warbler,6600,BBWA
Bell's Vireo,6330,BEVI
Bendire's Thrasher,7080,BETH
Berylline Hummingbird,4381,BEHU
Bewick's Wren,7190,BEWR
Bicknell's Thrush,7571,BITH
Black-backed Woodpecker,4000,BBWO
Black-billed Cuckoo,3880,BBCU
Black-billed Magpie,4750,BBMA
Black-capped Chickadee,7350,BCCH
Black-capped Gnatcatcher,7531,BCGN
Black-capped Vireo,6300,BCVI
Black-chinned Hummingbird,4290,BCHU
Black-chinned Sparrow,5650,BCSP
Black-cowled Oriole,19250,BCOR
Black-crested Titmouse,7320,BCTI
Black-faced Grassquit,6030,BFGR
Black-headed Grosbeak,5960,BHGR
Black-rumped Waxbill,8080,BRWX
Black-tailed Gnatcatcher,7520,BTGN
Black-throated Blue Warbler,6540,BTBW
Black-throated Gray Warbler,6650,BTYW
Black-throated Green Warbler,6670,BTNW
Black-throated Sparrow,5730,BTSP
Black-vented Oriole,5041,BVOR
Black-whiskered Vireo,6230,BWVI
Black Drongo,24560,BLDR
Black Phoebe,4580,BLPH
Black Rosy-Finch,5250,BLRF
Black Swift,4220,BLSW
Blackburnian Warbler,6620,BLBW
Blackpoll Warbler,6610,BLPW
Blue-gray Gnatcatcher,7510,BGGN
Blue-headed Vireo,6290,BHVI
Blue-throated Hummingbird,4270,BLUH
Blue-winged Warbler,6410,BWWA
Blue Bunting,5971,BLBU
Blue Grosbeak,5970,BLGR
Blue Jay,4770,BLJA
Bluethroat,7640,BLUE
Boat-tailed Grackle,5130,BTGR
Bobolink,4940,BOBO
Bohemian Waxwing,6180,BOWA
Boreal Chickadee,7400,BOCH
Botteri's Sparrow,5760,BOSP
Brambling,5141,BRAM
Brewer's Blackbird,5100,BRBL
Brewer's Sparrow,5620,BRSP
Bridled Quail-Dove,11120,BRQD
Bridled Titmouse,7340,BRTI
Broad-billed Hummingbird,4410,BBLH
Broad-tailed Hummingbird,4320,BTLH
Bronzed Cowbird,4960,BROC
Brown-capped Rosy-Finch,5260,BCRF
Brown-crested Flycatcher,4530,BCFL
Brown-headed Cowbird,4950,BHCO
Brown-headed Nuthatch,7290,BHNU
Brown Creeper,7260,BRCR
Brown Jay,4832,BRJA
Brown Shrike,6211,BRSH
Brown Thrasher,7050,BRTH
Buff-bellied Hummingbird,4390,BUFH
Buff-breasted Flycatcher,4700,BBFL
Bullock's Oriole,5080,BUOR
Bumblebee Hummingbird,4350,BUHU
Bushtit,7430,BUSH
Cactus Wren,7130,CACW
California Gnatcatcher,7530,CAGN
California Thrasher,7100,CATH
California Towhee,5911,CALT
Calliope Hummingbird,4360,CAHU
Canada Warbler,6860,CAWA
Canyon Towhee,5910,CANT
Canyon Wren,7170,CANW
Cape May Warbler,6500,CMWA
Caribbean Elaenia,15040,CAEL
Caribbean Martin,6113,CAMA
Carolina Chickadee,7360,CACH
Carolina Wren,7180,CARW
Cassin's Finch,5180,CAFI
Cassin's Kingbird,4480,CAKI
Cassin's Sparrow,5780,CASP
Cassin's Vireo,6292,CAVI
Cave Swallow,6121,CASW
Cedar Waxwing,6190,CEDW
Cerulean Warbler,6580,CERW
Chestnut-backed Chickadee,7410,CBCH
Chestnut-collared Longspur,5380,CCLO
Chestnut-sided Warbler,6590,CSWA
Chihuahuan Raven,4870,CHRA
Chimney Swift,4230,CHSW
Chipping Sparrow,5600,CHSP
Clark's Nutcracker,4910,CLNU
Clay-colored Sparrow,5610,CCSP
Cliff Swallow,6120,CLSW
Colima Warbler,6471,COLW
Common Canary,5331,COCA
